Mode,Indicator,Date,Current,Week Number,Year
Aviation,People Screened at All Airports,1/1/2019,"2,392,125",53,2019
Aviation,People Screened at All Airports,1/2/2019,"2,354,510",53,2019
Aviation,People Screened at All Airports,1/3/2019,"2,211,239",53,2019
Aviation,People Screened at All Airports,1/4/2019,"2,160,942",53,2019
Aviation,People Screened at All Airports,1/5/2019,"1,986,061",53,2019
Aviation,People Screened at All Airports,1/6/2019,"2,231,586",2,2019
Aviation,People Screened at All Airports,1/7/2019,"2,050,549",2,2019
Aviation,People Screened at All Airports,1/8/2019,"1,740,080",2,2019
Aviation,People Screened at All Airports,1/9/2019,"1,741,872",2,2019
Aviation,People Screened at All Airports,1/10/2019,"1,961,306",2,2019
Aviation,People Screened at All Airports,1/11/2019,"1,977,664",2,2019
Aviation,People Screened at All Airports,1/12/2019,"1,611,796",2,2019
Aviation,People Screened at All Airports,1/13/2019,"1,977,133",3,2019
Aviation,People Screened at All Airports,1/14/2019,"1,890,935",3,2019
Aviation,People Screened at All Airports,1/15/2019,"1,610,144",3,2019
Aviation,People Screened at All Airports,1/16/2019,"1,790,635",3,2019
Aviation,People Screened at All Airports,1/17/2019,"2,148,157",3,2019
Aviation,People Screened at All Airports,1/18/2019,"2,280,581",3,2019
Aviation,People Screened at All Airports,1/19/2019,"1,606,917",3,2019
Aviation,People Screened at All Airports,1/20/2019,"1,783,314",4,2019
Aviation,People Screened at All Airports,1/21/2019,"2,185,585",4,2019
Aviation,People Screened at All Airports,1/22/2019,"1,809,663",4,2019
Aviation,People Screened at All Airports,1/23/2019,"1,768,423",4,2019
Aviation,People Screened at All Airports,1/24/2019,"1,986,129",4,2019
Aviation,People Screened at All Airports,1/25/2019,"2,061,617",4,2019
Aviation,People Screened at All Airports,1/26/2019,"1,577,399",4,2019
Aviation,People Screened at All Airports,1/27/2019,"2,018,377",5,2019
Aviation,People Screened at All Airports,1/28/2019,"1,868,239",5,2019
Aviation,People Screened at All Airports,1/29/2019,"1,539,295",5,2019
Aviation,People Screened at All Airports,1/30/2019,"1,598,703",5,2019
Aviation,People Screened at All Airports,1/31/2019,"1,938,669",5,2019
Aviation,People Screened at All Airports,2/1/2019,"2,079,279",5,2019
Aviation,People Screened at All Airports,2/2/2019,"1,597,570",5,2019
Aviation,People Screened at All Airports,2/3/2019,"1,798,671",6,2019
Aviation,People Screened at All Airports,2/4/2019,"2,010,475",6,2019
Aviation,People Screened at All Airports,2/5/2019,"1,660,169",6,2019
Aviation,People Screened at All Airports,2/6/2019,"1,763,252",6,2019
