Type,Airport Scode,Source,Airport_Dcode,Dest,Passenger-Arr 2019,Passenger-Arr 2020,Passenger-Dep 2019,Passenger-Dep 2020,%Chg Arr,%Chg Dep,Rank_arrivals,Rank_dep,Rank_flights
Summary,ATL,Hartsfield-Jackson Atlanta International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,47316000,18950000,47261000,18873000,-59.95%,-60.07%,1,1,1
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,FLL,Fort Lauderdale-Hollywood International Airport,1347314,629607,,,53.27,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,MCO,Orlando International Airport,1493988,621336,,,58.41,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,LAX,Los Angeles International,1121378,494806,,,55.88,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,TPA,Tampa International Airport,1062648,468738,,,55.89,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,DFW,Dallas/Fort Worth International,921768,459057,,,50.2,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,DEN,Denver International,873254,446141,,,48.91,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,DTW,Detroit Metropolitan Wayne County Airport,775691,408485,,,47.34,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,MIA,Miami International Airport,919909,398193,,,56.71,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,LGA,LaGuardia Airport,1206805,381911,,,68.35,,,,
Destination Airports,ATL,Hartsfield-Jackson Atlanta International Airport,LAS,McCarran International,785511,376586,,,52.06,,,,
Summary,DFW,Dallas/Fort Worth International,DFW,Dallas/Fort Worth International,31171000,17019000,31140000,16953000,45.4,-45.56%,2,2,2
Destination Airports,DFW,Dallas/Fort Worth International,LAX,Los Angeles International,1226132,678666,,,44.65,,,,
Destination Airports,DFW,Dallas/Fort Worth International,DEN,Denver International,829285,525160,,,36.67,,,,
Destination Airports,DFW,Dallas/Fort Worth International,LAS,McCarran International,840393,514571,,,38.77,,,,
Destination Airports,DFW,Dallas/Fort Worth International,ORD,Chicago O'Hare International,1113506,504763,,,54.67,,,,
Destination Airports,DFW,Dallas/Fort Worth International,PHX,Phoenix Sky Harbor International,695791,453657,,,34.8,,,,
Destination Airports,DFW,Dallas/Fort Worth International,ATL,Hartsfield-Jackson Atlanta International Airport,908271,450791,,,50.37,,,,
Destination Airports,DFW,Dallas/Fort Worth International,MCO,Orlando International Airport,683700,412888,,,39.61,,,,
Destination Airports,DFW,Dallas/Fort Worth International,MIA,Miami International Airport,659780,357922,,,45.75,,,,
Destination Airports,DFW,Dallas/Fort Worth International,CLT,Charlotte Douglas International Airport,542728,342986,,,36.8,,,,
Destination Airports,DFW,Dallas/Fort Worth International,SEA,Seattle-Tacoma International Airport,635003,307285,,,51.61,,,,
Summary,DEN,Denver International,DEN,Denver International,32012000,15785000,32021000,15776000,50.69,-50.73%,3,3,4
Destination Airports,DEN,Denver International,PHX,Phoenix Sky Harbor International,1077742,625352,,,41.98,,,,
Destination Airports,DEN,Denver International,LAX,Los Angeles International,1162212,546278,,,53,,,,
Destination Airports,DEN,Denver International,DFW,Dallas/Fort Worth International,829098,523651,,,36.84,,,,
Destination Airports,DEN,Denver International,LAS,McCarran International,969748,513832,,,47.01,,,,
Destination Airports,DEN,Denver International,ORD,Chicago O'Hare International,1023562,512209,,,49.96,,,,
Destination Airports,DEN,Denver International,IAH,George Bush Intercontinental/Houston Airport,761330,456027,,,40.1,,,,
Destination Airports,DEN,Denver International,ATL,Hartsfield-Jackson Atlanta International Airport,868467,436395,,,49.75,,,,
Destination Airports,DEN,Denver International,SEA,Seattle-Tacoma International Airport,935124,412071,,,55.93,,,,
Destination Airports,DEN,Denver International,MSP,Minneapolis?Saint Paul International Airport,845896,390884,,,53.79,,,,
Destination Airports,DEN,Denver International,SLC,Salt Lake City International Airport,747456,388389,,,48.04,,,,
Summary,ORD,Chicago O'Hare International,ORD,Chicago O'Hare International,34064000,12966000,34054000,12859000,61.94,-62.24%,4,4,3
Destination Airports,ORD,Chicago O'Hare International,LAX,Los Angeles International,1399208,583208,,,58.32,,,,
Destination Airports,ORD,Chicago O'Hare International,DEN,Denver International,1048011,525219,,,49.88,,,,
Destination Airports,ORD,Chicago O'Hare International,DFW,Dallas/Fort Worth International,1110696,511040,,,53.99,,,,
Destination Airports,ORD,Chicago O'Hare International,PHX,Phoenix Sky Harbor International,849092,401462,,,52.72,,,,
Destination Airports,ORD,Chicago O'Hare International,ATL,Hartsfield-Jackson Atlanta International Airport,859212,366238,,,57.38,,,,
Destination Airports,ORD,Chicago O'Hare International,MCO,Orlando International Airport,775797,364298,,,53.04,,,,
Destination Airports,ORD,Chicago O'Hare International,LAS,McCarran International,790114,356726,,,54.85,,,,
Destination Airports,ORD,Chicago O'Hare International,LGA,LaGuardia Airport,1549431,353608,,,77.18,,,,
Destination Airports,ORD,Chicago O'Hare International,IAH,George Bush Intercontinental/Houston Airport,703718,335965,,,52.26,,,,
Destination Airports,ORD,Chicago O'Hare International,MIA,Miami International Airport,632141,326193,,,48.4,,,,
Summary,CLT,Charlotte Douglas International Airport,CLT,Charlotte Douglas International Airport,22481000,12456000,22417000,12420000,44.59,-44.60%,5,5,5
Destination Airports,CLT,Charlotte Douglas International Airport,MCO,Orlando International Airport,674035,392340,,,41.79,,,,
Destination Airports,CLT,Charlotte Douglas International Airport,DFW,Dallas/Fort Worth International,550646,358520,,,34.89,,,,
