Date,2021,2020,2019
1/1/2022,"1,192,881","2,178,656","2,345,103"
1/2/2022,"1,327,289","2,422,272","2,202,111"
1/3/2022,"1,080,346","2,210,542","2,150,571"
1/4/2022,"766,594","1,806,480","1,975,947"
1/5/2022,"665,855","1,815,040","2,229,391"
1/6/2021,"665,855","1,815,040","2,229,391"
1/7/2021,"771,734","2,034,472","2,044,043"
1/8/2021,"772,471","2,072,543","1,733,739"
1/9/2021,"709,444","1,687,974","1,739,642"
1/10/2021,"886,536","2,183,734","1,955,200"
1/11/2021,"708,177","1,992,453","1,959,788"
1/12/2021,"520,117","1,691,205","1,604,862"
1/13/2021,"567,401","1,876,782","1,970,450"
1/14/2021,"803,688","2,242,656","1,886,642"
1/15/2021,"903,039","2,347,075","1,605,758"
1/16/2021,"690,438","1,781,893","1,786,012"
1/17/2021,"810,654","2,000,260","2,139,242"
1/18/2021,"878,048","2,298,616","2,271,398"
1/19/2021,"560,190","1,870,459","1,600,698"
1/20/2021,"542,338","1,801,444","1,776,235"
1/21/2021,"728,978","2,100,401","2,179,066"
1/22/2021,"755,028","2,145,063","1,804,629"
1/23/2021,"603,527","1,645,196","1,763,884"
1/24/2021,"838,116","2,136,584","1,991,328"
1/25/2021,"701,709","2,004,609","2,052,814"
1/26/2021,"468,933","1,643,435","1,571,077"
1/27/2021,"536,935","1,777,171","2,010,374"
1/28/2021,"750,558","2,085,468","1,862,420"
1/29/2021,"774,688","2,159,047","1,534,386"
1/30/2021,"617,489","1,658,886","1,593,697"
1/31/2021,"859,039","1,948,138","1,938,817"
2/1/2021,"628,989","2,054,725","2,078,169"
2/2/2021,"493,338","1,677,798","1,591,591"
2/3/2021,"618,615","1,843,877","1,792,677"
2/4/2021,"778,065","2,167,857","2,001,482"
2/5/2021,"868,624","2,271,551","1,655,868"
2/6/2021,"705,951","1,770,241","1,756,152"
2/7/2021,"854,636","2,224,826","2,064,640"
2/8/2021,"864,783","2,164,951","2,134,744"
2/9/2021,"617,619","1,814,047","1,648,328"
2/10/2021,"735,009","2,038,375","2,105,696"
2/11/2021,"1,034,514","2,415,185","2,055,827"
2/12/2021,"1,151,420","2,507,588","1,620,239"
2/13/2021,"900,696","1,972,248","1,950,385"
2/14/2021,"946,458","2,198,657","2,227,730"
2/15/2021,"967,693","2,494,922","1,922,613"
2/16/2021,"738,825","2,190,300","2,147,045"
2/17/2021,"773,422","2,129,862","2,476,445"
2/18/2021,"914,823","2,358,511","2,177,690"
2/19/2021,"1,059,452","2,429,489","2,022,861"
2/20/2021,"942,238","1,951,535","2,351,856"
2/21/2021,"1,115,479","2,380,359","2,415,570"
2/22/2021,"963,280","2,267,382","2,331,841"
2/23/2021,"714,725","1,919,803","2,274,217"
2/24/2021,"802,230","2,075,554","2,197,938"
2/25/2021,"1,051,149","2,364,727","2,160,322"
2/26/2021,"1,096,348","2,441,643","1,861,286"
2/27/2021,"917,282","1,949,696","2,015,079"
2/28/2021,"1,190,682","2,353,150","2,307,393"
3/1/2021,"1,049,692","2,089,641","2,257,920"
3/2/2021,"744,812","1,736,393","1,979,558"
3/3/2021,"826,924","1,877,401","2,143,619"
3/4/2021,"1,107,534","2,130,015","2,402,692"
3/5/2021,"1,168,734","2,198,517","2,543,689"
